gene,expression,temperature,time
AT1G19530,15.7597703,17c,15min
AT1G31580,962.2048507,17c,15min
AT1G67090,3938.522344,17c,15min
AT1G80920,69.03814872,17c,15min
AT2G25110,69.30028193,17c,15min
AT3G12580,25.30460916,17c,15min
AT3G23990,104.898026,17c,15min
AT3G30775,88.81516734,17c,15min
AT3G54660,210.25333,17c,15min
AT5G19240,422.4974987,17c,15min
AT1G19530,11.34540814,17c,1hr
AT1G31580,1319.997424,17c,1hr
AT1G67090,5313.048161,17c,1hr
AT1G80920,102.5998924,17c,1hr
AT2G25110,55.82963959,17c,1hr
AT3G12580,17.82421741,17c,1hr
AT3G23990,87.74149341,17c,1hr
AT3G30775,208.216148,17c,1hr
AT3G54660,191.094836,17c,1hr
AT5G19240,427.1913906,17c,1hr
AT1G19530,86.51249527,17c,4hr
AT1G31580,776.4074073,17c,4hr
AT1G67090,5940.520031,17c,4hr
AT1G80920,386.8109638,17c,4hr
AT2G25110,62.18484551,17c,4hr
AT3G12580,6.887794094,17c,4hr
AT3G23990,76.42519507,17c,4hr
AT3G30775,181.1277897,17c,4hr
AT3G54660,188.0280756,17c,4hr
AT5G19240,110.7478327,17c,4hr
AT1G19530,15.08317515,27c,15min
AT1G31580,1185.243382,27c,15min
AT1G67090,4891.176104,27c,15min
AT1G80920,92.41516183,27c,15min
AT2G25110,75.86464908,27c,15min
AT3G12580,686.688783,27c,15min
AT3G23990,199.0300012,27c,15min
AT3G30775,147.4415661,27c,15min
AT3G54660,194.1110945,27c,15min
AT5G19240,419.7854975,27c,15min
AT1G19530,117.1810981,27c,1hr
AT1G31580,892.7799415,27c,1hr
AT1G67090,5292.651754,27c,1hr
AT1G80920,214.8782837,27c,1hr
AT2G25110,112.8721075,27c,1hr
AT3G12580,699.12959,27c,1hr
AT3G23990,190.0447486,27c,1hr
AT3G30775,209.7826915,27c,1hr
AT3G54660,109.0575608,27c,1hr
AT5G19240,124.8328633,27c,1hr
AT1G19530,131.9306909,27c,4hr
AT1G31580,379.7831654,27c,4hr
AT1G67090,3377.258186,27c,4hr
AT1G80920,391.8239354,27c,4hr
AT2G25110,89.32237425,27c,4hr
AT3G12580,71.33224487,27c,4hr
AT3G23990,87.77344221,27c,4hr
AT3G30775,99.21293575,27c,4hr
AT3G54660,93.67446606,27c,4hr
AT5G19240,39.49156676,27c,4hr
